Product Name,SKU,Category,UOM,Cost Price,Sale Price,Min Stock Level,Reorder Qty,Description,Warehouse,Location,Initial Quantity
Steel Rods 10mm,STL-ROD-10,Raw Materials,Meters,15.50,22.00,100,500,High-grade steel rods for construction,Main Warehouse,Rack A1,250
Cement Bags 50kg,CEM-BAG-50,Building Materials,Bags,8.75,12.50,50,200,Portland cement 50kg bags,Main Warehouse,Zone B,150
Paint White 5L,PNT-WHT-5L,Finishing Materials,Liters,25.00,35.00,20,100,Premium white interior paint,Main Warehouse,Shelf C3,45
Electrical Wire 2.5mm,ELC-WIR-2.5,Electrical,Meters,2.50,4.00,200,1000,Copper electrical wire 2.5mm,Secondary Warehouse,Bin D2,500
Plywood 18mm,PLY-18MM,Wood Products,Pieces,45.00,65.00,15,50,Marine grade plywood sheets,Main Warehouse,Stack E1,30
Nails 3 inch,NLS-3IN,Hardware,KG,3.20,5.00,30,150,Galvanized steel nails,Main Warehouse,Drawer F5,80
Tiles Ceramic 30x30,TIL-CER-30,Finishing Materials,Boxes,18.50,28.00,25,100,Ceramic floor tiles white,Main Warehouse,Pallet G2,60
PVC Pipes 4 inch,PVC-PIP-4,Plumbing,Meters,12.00,18.00,40,200,PVC drainage pipes 4 inch,Secondary Warehouse,Rack H3,120
Sand Fine Grade,SND-FIN,Raw Materials,Tons,35.00,50.00,5,20,Fine construction sand,Yard Area,Bay 1,8
Gravel 20mm,GRV-20MM,Raw Materials,Tons,40.00,58.00,5,20,Crushed gravel aggregate,Yard Area,Bay 2,12
